,RegionName,Date,HomePrice,SchoolRating,CrimeRate,DesirabilityScore
1843,Montana,2018-01-01T00:00:00.000,241766.5801754079,6.690275325424409,3.1406439854191985,0.8505360555574023
3048,Vermont,2020-01-01T00:00:00.000,261593.3701765277,10,1.2269137302551643,0.850463335023315
1943,Montana,2018-03-01T00:00:00.000,244087.45862401192,6.690275325424409,3.1406439854191985,0.8503741321552318
2552,Florida,2019-04-01T00:00:00.000,250069.18627350865,5.45553754827597,10,0.8503669075860062
5596,North Dakota,2024-04-01T00:00:00.000,258337.0165185423,5.920192987940027,1,0.8503148860171924
2287,Idaho,2018-10-01T00:00:00.000,252790.18348539816,4.958113497381419,3.2882746051032807,0.8503118677048306
2402,Florida,2019-01-01T00:00:00.000,247599.3953104269,5.45553754827597,10,0.8502673188784808
2749,Wyoming,2019-07-01T00:00:00.000,243775.43484229376,8.393929876542643,4.562272174969624,0.8502415876119366
1163,Arizona,2016-12-01T00:00:00.000,228867.0447763345,4.661334393332254,8.654921020656138,0.8502003388928174
5868,Missouri,2024-10-01T00:00:00.000,244236.22141553395,4.755505630228072,5.431652490886999,0.8501983783240026
911,Virginia,2016-07-01T00:00:00.000,244183.87022867348,5.539353859993753,4.611482381530984,0.8501736616095146
111,Virginia,2015-03-01T00:00:00.000,234692.11522777623,5.539353859993753,4.611482381530984,0.8501333784182576
4654,Pennsylvania,2022-10-01T00:00:00.000,244334.0687829258,5.384719765615046,3.0258201701093563,0.8500858173238407
3805,Illinois,2021-05-01T00:00:00.000,217976.1728989598,5.358720940699641,7.296172539489672,0.8500795361430816
4219,Wisconsin,2022-01-01T00:00:00.000,252794.508717306,5.093094682170886,1.3636087484811668,0.8500572638255264
1113,Arizona,2016-11-01T00:00:00.000,227788.92172029207,4.661334393332254,8.654921020656138,0.8500519739424383
999,Wyoming,2016-08-01T00:00:00.000,228171.16469624324,8.393929876542643,4.562272174969624,0.8500019462519376
1063,Arizona,2016-10-01T00:00:00.000,226620.31897670697,4.661334393332254,8.654921020656138,0.8499968383932505
1213,Arizona,2017-01-01T00:00:00.000,230159.4086553939,4.661334393332254,8.654921020656138,0.8499842275146846
3304,Pennsylvania,2020-07-01T00:00:00.000,193827.53391095044,5.384719765615046,3.0258201701093563,0.8499816215125533
749,Wyoming,2016-03-01T00:00:00.000,228582.3341660197,8.393929876542643,4.562272174969624,0.8499649306052608
81,Nevada,2015-02-01T00:00:00.000,209044.6502554424,5.220422167772995,8.028857837181047,0.8499591815102553
5004,Pennsylvania,2023-05-01T00:00:00.000,246661.10242303504,5.384719765615046,3.0258201701093563,0.8499586952864626
1390,New Hampshire,2017-04-01T00:00:00.000,254840.3798473329,5.0065450782640255,1.4237545565006076,0.8499582955354335
429,Utah,2015-09-01T00:00:00.000,247028.599052979,6.075993788577762,3.5425273390036454,0.8499307976849398
2652,Florida,2019-06-01T00:00:00.000,250857.9639261524,5.45553754827597,10,0.8499037800944674
2043,Montana,2018-05-01T00:00:00.000,246950.490918725,6.690275325424409,3.1406439854191985,0.8498697616902253
1340,New Hampshire,2017-03-01T00:00:00.000,253036.50444904275,5.0065450782640255,1.4237545565006076,0.8498002325040067
2621,Minnesota,2019-05-01T00:00:00.000,248869.698253762,5.491053131379886,1.9978736330498184,0.8497583572438425
4904,Pennsylvania,2023-03-01T00:00:00.000,244360.4036021856,5.384719765615046,3.0258201701093563,0.8497375329246829
711,Virginia,2016-03-01T00:00:00.000,243426.4240576928,5.539353859993753,4.611482381530984,0.8497241916716185
5054,Pennsylvania,2023-06-01T00:00:00.000,248415.00792546303,5.384719765615046,3.0258201701093563,0.8496996408439077
479,Utah,2015-10-01T00:00:00.000,249267.3939486132,6.075993788577762,3.5425273390036454,0.8496967637958682
231,Nevada,2015-05-01T00:00:00.000,213677.3160482026,5.220422167772995,8.028857837181047,0.8496132297690321
2771,Minnesota,2019-08-01T00:00:00.000,250541.75098283056,5.491053131379886,1.9978736330498184,0.8495501645495207
2502,Florida,2019-03-01T00:00:00.000,249470.34397824027,5.45553754827597,10,0.8495463322571589
181,Nevada,2015-04-01T00:00:00.000,211895.99426543745,5.220422167772995,8.028857837181047,0.8495454303890214
2799,Wyoming,2019-08-01T00:00:00.000,245400.2252759672,8.393929876542643,4.562272174969624,0.8495287986124044
611,Virginia,2016-01-01T00:00:00.000,242257.48156390912,5.539353859993753,4.611482381530984,0.8495131877040032
661,Virginia,2016-02-01T00:00:00.000,243059.3688826161,5.539353859993753,4.611482381530984,0.8494982708364611
2721,Minnesota,2019-07-01T00:00:00.000,250068.3428558613,5.491053131379886,1.9978736330498184,0.8494901761486897
31,Nevada,2015-01-01T00:00:00.000,208063.6909948568,5.220422167772995,8.028857837181047,0.8494665653293889
3565,Tennessee,2020-12-01T00:00:00.000,222019.11693250504,4.953234119897388,5.784325637910086,0.8493907496000834
3765,Tennessee,2021-04-01T00:00:00.000,234913.41664796908,4.953234119897388,5.784325637910086,0.8493759901659388
3315,Tennessee,2020-07-01T00:00:00.000,209224.34163089315,4.953234119897388,5.784325637910086,0.8493699129678811
861,Virginia,2016-06-01T00:00:00.000,243835.8679713175,5.539353859993753,4.611482381530984,0.8493688602477006
5659,Michigan,2024-06-01T00:00:00.000,234575.7183125133,4.8559432568144985,7.810145808019444,0.8493640064557233
5866,Indiana,2024-10-01T00:00:00.000,236259.3991548254,3.888536857320105,3.408566221142163,0.8493022107859886
3098,Vermont,2020-02-01T00:00:00.000,262702.77036001795,10,1.2269137302551643,0.8492143812939307
761,Virginia,2016-04-01T00:00:00.000,243470.0139811912,5.539353859993753,4.611482381530984,0.8491849132792229
4704,Pennsylvania,2022-11-01T00:00:00.000,244505.4943961016,5.384719765615046,3.0258201701093563,0.8491776956298445
5646,North Dakota,2024-05-01T00:00:00.000,259853.8788950097,5.920192987940027,1,0.8491598970830718
4805,Illinois,2023-01-01T00:00:00.000,242054.8991492123,5.358720940699641,7.296172539489672,0.849155928871344
2752,Florida,2019-08-01T00:00:00.000,252186.88423658253,5.45553754827597,10,0.8491404389961434
899,Wyoming,2016-06-01T00:00:00.000,228705.38797252384,8.393929876542643,4.562272174969624,0.8491073722142575
2821,Minnesota,2019-09-01T00:00:00.000,250807.1668899576,5.491053131379886,1.9978736330498184,0.8490509923953142
1263,Arizona,2017-02-01T00:00:00.000,231670.81565722232,4.661334393332254,8.654921020656138,0.848967129491045
1011,Virginia,2016-09-01T00:00:00.000,245158.0004407561,5.539353859993753,4.611482381530984,0.8489494044498036
5686,Nebraska,2024-06-01T00:00:00.000,254896.7716127828,5.421543356991606,2.9055285540704743,0.8489194965315062
4855,Illinois,2023-02-01T00:00:00.000,241970.96267688167,5.358720940699641,7.296172539489672,0.848851010373603
3865,Tennessee,2021-06-01T00:00:00.000,244003.1707997232,4.953234119897388,5.784325637910086,0.8488289179671117
5736,Nebraska,2024-07-01T00:00:00.000,255091.08529083163,5.421543356991606,2.9055285540704743,0.8487961513856385
1993,Montana,2018-04-01T00:00:00.000,245466.89962136897,6.690275325424409,3.1406439854191985,0.8487809415910821
4454,Pennsylvania,2022-06-01T00:00:00.000,244995.49417745564,5.384719765615046,3.0258201701093563,0.8487567823175117
5836,Nebraska,2024-09-01T00:00:00.000,255816.70910345364,5.421543356991606,2.9055285540704743,0.8487421559154067
1440,New Hampshire,2017-05-01T00:00:00.000,256672.12407501088,5.0065450782640255,1.4237545565006076,0.8487345925341633
799,Wyoming,2016-04-01T00:00:00.000,228647.7675786416,8.393929876542643,4.562272174969624,0.8487165469953297
